raw_author_keyword,frequency,dictionary_status
regeneration,20,raw_WoS_DE_term_no_synonym_merge
stem cell,20,raw_WoS_DE_term_no_synonym_merge
therapy,20,raw_WoS_DE_term_no_synonym_merge
cytokines,19,raw_WoS_DE_term_no_synonym_merge
Glioblastoma,19,raw_WoS_DE_term_no_synonym_merge
Mesenchymal stromal cells,19,raw_WoS_DE_term_no_synonym_merge
Microvesicle,19,raw_WoS_DE_term_no_synonym_merge
microvesicle,19,raw_WoS_DE_term_no_synonym_merge
miR-126,19,raw_WoS_DE_term_no_synonym_merge
obesity,19,raw_WoS_DE_term_no_synonym_merge
proliferation,19,raw_WoS_DE_term_no_synonym_merge
vascular smooth muscle cells,19,raw_WoS_DE_term_no_synonym_merge
Cardiovascular diseases,18,raw_WoS_DE_term_no_synonym_merge
macrophage,18,raw_WoS_DE_term_no_synonym_merge
nanovesicles,18,raw_WoS_DE_term_no_synonym_merge
Oxidative stress,18,raw_WoS_DE_term_no_synonym_merge
secretome,18,raw_WoS_DE_term_no_synonym_merge
tissue factor,18,raw_WoS_DE_term_no_synonym_merge
adipose tissue,17,raw_WoS_DE_term_no_synonym_merge
adipose-derived stem cells,17,raw_WoS_DE_term_no_synonym_merge
Alzheimer's disease,17,raw_WoS_DE_term_no_synonym_merge
bone regeneration,17,raw_WoS_DE_term_no_synonym_merge
Diabetic retinopathy,17,raw_WoS_DE_term_no_synonym_merge
Drug delivery,17,raw_WoS_DE_term_no_synonym_merge
extracellular matrix,17,raw_WoS_DE_term_no_synonym_merge
HUVEC,17,raw_WoS_DE_term_no_synonym_merge
Intercellular communication,17,raw_WoS_DE_term_no_synonym_merge
lncRNA,17,raw_WoS_DE_term_no_synonym_merge
mesenchymal stromal cells,17,raw_WoS_DE_term_no_synonym_merge
microglia,17,raw_WoS_DE_term_no_synonym_merge
migration,17,raw_WoS_DE_term_no_synonym_merge
Osteogenesis,17,raw_WoS_DE_term_no_synonym_merge
pulmonary hypertension,17,raw_WoS_DE_term_no_synonym_merge
Regenerative medicine,17,raw_WoS_DE_term_no_synonym_merge
Spinal cord injury,17,raw_WoS_DE_term_no_synonym_merge
tissue engineering,17,raw_WoS_DE_term_no_synonym_merge
vascular calcification,17,raw_WoS_DE_term_no_synonym_merge
Bone regeneration,16,raw_WoS_DE_term_no_synonym_merge
colorectal cancer,16,raw_WoS_DE_term_no_synonym_merge
glioma,16,raw_WoS_DE_term_no_synonym_merge
Mitochondria,16,raw_WoS_DE_term_no_synonym_merge
monocytes,16,raw_WoS_DE_term_no_synonym_merge
Obesity,16,raw_WoS_DE_term_no_synonym_merge
platelet,16,raw_WoS_DE_term_no_synonym_merge
Pregnancy,16,raw_WoS_DE_term_no_synonym_merge
pregnancy,16,raw_WoS_DE_term_no_synonym_merge
Stroke,16,raw_WoS_DE_term_no_synonym_merge
Adipose-derived stem cells,15,raw_WoS_DE_term_no_synonym_merge
chronic kidney disease,15,raw_WoS_DE_term_no_synonym_merge
diabetic retinopathy,15,raw_WoS_DE_term_no_synonym_merge
Extracellular vesicles (EVs),15,raw_WoS_DE_term_no_synonym_merge
flow cytometry,15,raw_WoS_DE_term_no_synonym_merge
microenvironment,15,raw_WoS_DE_term_no_synonym_merge
mitochondria,15,raw_WoS_DE_term_no_synonym_merge
MSCs,15,raw_WoS_DE_term_no_synonym_merge
pericytes,15,raw_WoS_DE_term_no_synonym_merge
placenta,15,raw_WoS_DE_term_no_synonym_merge
SARS-CoV-2,15,raw_WoS_DE_term_no_synonym_merge
Stem cell,15,raw_WoS_DE_term_no_synonym_merge
stromal cells,15,raw_WoS_DE_term_no_synonym_merge
Diabetes mellitus,14,raw_WoS_DE_term_no_synonym_merge
drug resistance,14,raw_WoS_DE_term_no_synonym_merge
Fibroblasts,14,raw_WoS_DE_term_no_synonym_merge
fibroblasts,14,raw_WoS_DE_term_no_synonym_merge
heart failure,14,raw_WoS_DE_term_no_synonym_merge
Human umbilical vein endothelial cells,14,raw_WoS_DE_term_no_synonym_merge
ischemia,14,raw_WoS_DE_term_no_synonym_merge
PTEN,14,raw_WoS_DE_term_no_synonym_merge
Therapy,14,raw_WoS_DE_term_no_synonym_merge
treatment,14,raw_WoS_DE_term_no_synonym_merge
vascular remodeling,14,raw_WoS_DE_term_no_synonym_merge
Acute lung injury,13,raw_WoS_DE_term_no_synonym_merge
astrocytes,13,raw_WoS_DE_term_no_synonym_merge
fibrosis,13,raw_WoS_DE_term_no_synonym_merge
Glioma,13,raw_WoS_DE_term_no_synonym_merge
hepatocellular carcinoma,13,raw_WoS_DE_term_no_synonym_merge
Hepatocellular carcinoma,13,raw_WoS_DE_term_no_synonym_merge
liquid biopsy,13,raw_WoS_DE_term_no_synonym_merge
lung cancer,13,raw_WoS_DE_term_no_synonym_merge
bone marrow mesenchymal stem cells,12,raw_WoS_DE_term_no_synonym_merge
Cancer stem cells,12,raw_WoS_DE_term_no_synonym_merge
Cell therapy,12,raw_WoS_DE_term_no_synonym_merge
circular RNA,12,raw_WoS_DE_term_no_synonym_merge
coagulation,12,raw_WoS_DE_term_no_synonym_merge
Diagnosis,12,raw_WoS_DE_term_no_synonym_merge
diagnosis,12,raw_WoS_DE_term_no_synonym_merge
Extracellular matrix,12,raw_WoS_DE_term_no_synonym_merge
human umbilical vein endothelial cells,12,raw_WoS_DE_term_no_synonym_merge
ICAM-1,12,raw_WoS_DE_term_no_synonym_merge
immunomodulation,12,raw_WoS_DE_term_no_synonym_merge
invasion,12,raw_WoS_DE_term_no_synonym_merge
lymphangiogenesis,12,raw_WoS_DE_term_no_synonym_merge
Macrophage polarization,12,raw_WoS_DE_term_no_synonym_merge
Microenvironment,12,raw_WoS_DE_term_no_synonym_merge
microparticle,12,raw_WoS_DE_term_no_synonym_merge
MSC,12,raw_WoS_DE_term_no_synonym_merge
neuroinflammation,12,raw_WoS_DE_term_no_synonym_merge
ovarian cancer,12,raw_WoS_DE_term_no_synonym_merge
spinal cord injury,12,raw_WoS_DE_term_no_synonym_merge
traumatic brain injury,12,raw_WoS_DE_term_no_synonym_merge
VEGFA,12,raw_WoS_DE_term_no_synonym_merge
acute myocardial infarction,11,raw_WoS_DE_term_no_synonym_merge
cancer-associated fibroblasts,11,raw_WoS_DE_term_no_synonym_merge
diabetes mellitus,11,raw_WoS_DE_term_no_synonym_merge
diabetic wound healing,11,raw_WoS_DE_term_no_synonym_merge
exercise,11,raw_WoS_DE_term_no_synonym_merge
Extracellular Vesicles,11,raw_WoS_DE_term_no_synonym_merge
ferroptosis,11,raw_WoS_DE_term_no_synonym_merge
Ferroptosis,11,raw_WoS_DE_term_no_synonym_merge
gastric cancer,11,raw_WoS_DE_term_no_synonym_merge
HIF-1 alpha,11,raw_WoS_DE_term_no_synonym_merge
Hypertension,11,raw_WoS_DE_term_no_synonym_merge
melanoma,11,raw_WoS_DE_term_no_synonym_merge
miR-21,11,raw_WoS_DE_term_no_synonym_merge
miR-21-5p,11,raw_WoS_DE_term_no_synonym_merge
MiRNA,11,raw_WoS_DE_term_no_synonym_merge
nanoparticles,11,raw_WoS_DE_term_no_synonym_merge
NF-kappa B,11,raw_WoS_DE_term_no_synonym_merge
Placenta,11,raw_WoS_DE_term_no_synonym_merge
pre-metastatic niche,11,raw_WoS_DE_term_no_synonym_merge
Regeneration,11,raw_WoS_DE_term_no_synonym_merge
Senescence,11,raw_WoS_DE_term_no_synonym_merge
Thrombosis,11,raw_WoS_DE_term_no_synonym_merge
vascular endothelial growth factor,11,raw_WoS_DE_term_no_synonym_merge
vascular permeability,11,raw_WoS_DE_term_no_synonym_merge
Vascular smooth muscle cells,11,raw_WoS_DE_term_no_synonym_merge
acute lung injury,10,raw_WoS_DE_term_no_synonym_merge
Aging,10,raw_WoS_DE_term_no_synonym_merge
BBB,10,raw_WoS_DE_term_no_synonym_merge
cardiomyocytes,10,raw_WoS_DE_term_no_synonym_merge
cardioprotection,10,raw_WoS_DE_term_no_synonym_merge
cellular communication,10,raw_WoS_DE_term_no_synonym_merge
diabetic nephropathy,10,raw_WoS_DE_term_no_synonym_merge
EGFR,10,raw_WoS_DE_term_no_synonym_merge
Endocytosis,10,raw_WoS_DE_term_no_synonym_merge
endothelial function,10,raw_WoS_DE_term_no_synonym_merge
endothelial progenitor cell,10,raw_WoS_DE_term_no_synonym_merge
epigenetics,10,raw_WoS_DE_term_no_synonym_merge
heart,10,raw_WoS_DE_term_no_synonym_merge
Heart failure,10,raw_WoS_DE_term_no_synonym_merge
lncRNAs,10,raw_WoS_DE_term_no_synonym_merge
Lung cancer,10,raw_WoS_DE_term_no_synonym_merge
Nanoparticles,10,raw_WoS_DE_term_no_synonym_merge
Neuroinflammation,10,raw_WoS_DE_term_no_synonym_merge
non-coding RNA,10,raw_WoS_DE_term_no_synonym_merge
osteogenesis,10,raw_WoS_DE_term_no_synonym_merge
pancreatic cancer,10,raw_WoS_DE_term_no_synonym_merge
progenitor cells,10,raw_WoS_DE_term_no_synonym_merge
prognosis,10,raw_WoS_DE_term_no_synonym_merge
Proliferation,10,raw_WoS_DE_term_no_synonym_merge
pulmonary arterial hypertension,10,raw_WoS_DE_term_no_synonym_merge
Tissue engineering,10,raw_WoS_DE_term_no_synonym_merge
tumor angiogenesis,10,raw_WoS_DE_term_no_synonym_merge
acute kidney injury,9,raw_WoS_DE_term_no_synonym_merge
Acute myocardial infarction,9,raw_WoS_DE_term_no_synonym_merge
antiphospholipid syndrome,9,raw_WoS_DE_term_no_synonym_merge
biogenesis,9,raw_WoS_DE_term_no_synonym_merge
BMSCs,9,raw_WoS_DE_term_no_synonym_merge
Bone marrow mesenchymal stem cells,9,raw_WoS_DE_term_no_synonym_merge
brain metastasis,9,raw_WoS_DE_term_no_synonym_merge
Cardioprotection,9,raw_WoS_DE_term_no_synonym_merge
Cell communication,9,raw_WoS_DE_term_no_synonym_merge
cell-to-cell communication,9,raw_WoS_DE_term_no_synonym_merge
Chronic kidney disease,9,raw_WoS_DE_term_no_synonym_merge
circRNA,9,raw_WoS_DE_term_no_synonym_merge
ECM,9,raw_WoS_DE_term_no_synonym_merge
endocytosis,9,raw_WoS_DE_term_no_synonym_merge
hydrogel,9,raw_WoS_DE_term_no_synonym_merge
innate immunity,9,raw_WoS_DE_term_no_synonym_merge
insulin resistance,9,raw_WoS_DE_term_no_synonym_merge
ischemia-reperfusion injury,9,raw_WoS_DE_term_no_synonym_merge
macrophage polarization,9,raw_WoS_DE_term_no_synonym_merge
metabolic syndrome,9,raw_WoS_DE_term_no_synonym_merge
Migration,9,raw_WoS_DE_term_no_synonym_merge
monocyte,9,raw_WoS_DE_term_no_synonym_merge
multiple myeloma,9,raw_WoS_DE_term_no_synonym_merge
nanomedicine,9,raw_WoS_DE_term_no_synonym_merge
nanoparticle,9,raw_WoS_DE_term_no_synonym_merge
neurovascular unit,9,raw_WoS_DE_term_no_synonym_merge
nitric oxide,9,raw_WoS_DE_term_no_synonym_merge
Pathogenesis,9,raw_WoS_DE_term_no_synonym_merge
Pericytes,9,raw_WoS_DE_term_no_synonym_merge
Permeability,9,raw_WoS_DE_term_no_synonym_merge
PI3K,9,raw_WoS_DE_term_no_synonym_merge
Platelet,9,raw_WoS_DE_term_no_synonym_merge
pre-eclampsia,9,raw_WoS_DE_term_no_synonym_merge
reactive oxygen species,9,raw_WoS_DE_term_no_synonym_merge
sickle cell disease,9,raw_WoS_DE_term_no_synonym_merge
SIRT1,9,raw_WoS_DE_term_no_synonym_merge
Targeted delivery,9,raw_WoS_DE_term_no_synonym_merge
tissue regeneration,9,raw_WoS_DE_term_no_synonym_merge
Traumatic brain injury,9,raw_WoS_DE_term_no_synonym_merge
Type 2 diabetes,9,raw_WoS_DE_term_no_synonym_merge
Vascularization,9,raw_WoS_DE_term_no_synonym_merge
vascularization,9,raw_WoS_DE_term_no_synonym_merge
Acute kidney injury,8,raw_WoS_DE_term_no_synonym_merge
Acute respiratory distress syndrome,8,raw_WoS_DE_term_no_synonym_merge
apoptotic bodies,8,raw_WoS_DE_term_no_synonym_merge
biomaterials,8,raw_WoS_DE_term_no_synonym_merge
blood-brain barrier (BBB),8,raw_WoS_DE_term_no_synonym_merge
brain,8,raw_WoS_DE_term_no_synonym_merge
Cancer-associated fibroblasts,8,raw_WoS_DE_term_no_synonym_merge
cardiac regeneration,8,raw_WoS_DE_term_no_synonym_merge
Cardiomyocytes,8,raw_WoS_DE_term_no_synonym_merge
cell-cell communication,8,raw_WoS_DE_term_no_synonym_merge
cellular senescence,8,raw_WoS_DE_term_no_synonym_merge
diabetic wound,8,raw_WoS_DE_term_no_synonym_merge
Drug resistance,8,raw_WoS_DE_term_no_synonym_merge
Endothelial progenitor cell,8,raw_WoS_DE_term_no_synonym_merge
Exocytosis,8,raw_WoS_DE_term_no_synonym_merge
HCC,8,raw_WoS_DE_term_no_synonym_merge
HIV-1,8,raw_WoS_DE_term_no_synonym_merge
Human umbilical cord mesenchymal stem cells,8,raw_WoS_DE_term_no_synonym_merge
immunotherapy,8,raw_WoS_DE_term_no_synonym_merge
induced pluripotent stem cells,8,raw_WoS_DE_term_no_synonym_merge
Invadopodia,8,raw_WoS_DE_term_no_synonym_merge
Lipopolysaccharide,8,raw_WoS_DE_term_no_synonym_merge
Liquid biopsy,8,raw_WoS_DE_term_no_synonym_merge
M2 macrophage,8,raw_WoS_DE_term_no_synonym_merge
Nanovesicles,8,raw_WoS_DE_term_no_synonym_merge
nasopharyngeal carcinoma,8,raw_WoS_DE_term_no_synonym_merge
neural stem cells,8,raw_WoS_DE_term_no_synonym_merge
neutrophil,8,raw_WoS_DE_term_no_synonym_merge
osteoporosis,8,raw_WoS_DE_term_no_synonym_merge
osteosarcoma,8,raw_WoS_DE_term_no_synonym_merge
Ovarian cancer,8,raw_WoS_DE_term_no_synonym_merge
Pancreatic cancer,8,raw_WoS_DE_term_no_synonym_merge
plasma,8,raw_WoS_DE_term_no_synonym_merge
pyroptosis,8,raw_WoS_DE_term_no_synonym_merge
Secretome,8,raw_WoS_DE_term_no_synonym_merge
Tissue regeneration,8,raw_WoS_DE_term_no_synonym_merge
Tumour microenvironment,8,raw_WoS_DE_term_no_synonym_merge
acute respiratory distress syndrome,7,raw_WoS_DE_term_no_synonym_merge
adhesion,7,raw_WoS_DE_term_no_synonym_merge
blood brain barrier,7,raw_WoS_DE_term_no_synonym_merge
cancer stem cells,7,raw_WoS_DE_term_no_synonym_merge
Cancer therapy,7,raw_WoS_DE_term_no_synonym_merge
Coagulation,7,raw_WoS_DE_term_no_synonym_merge
coagulopathy,7,raw_WoS_DE_term_no_synonym_merge
cornea,7,raw_WoS_DE_term_no_synonym_merge
coronary artery disease,7,raw_WoS_DE_term_no_synonym_merge
crosstalk,7,raw_WoS_DE_term_no_synonym_merge
drug delivery systems,7,raw_WoS_DE_term_no_synonym_merge
endothelial,7,raw_WoS_DE_term_no_synonym_merge
endothelial injury,7,raw_WoS_DE_term_no_synonym_merge
engineered exosomes,7,raw_WoS_DE_term_no_synonym_merge
EV,7,raw_WoS_DE_term_no_synonym_merge
Fibrosis,7,raw_WoS_DE_term_no_synonym_merge
Gastric cancer,7,raw_WoS_DE_term_no_synonym_merge
glycocalyx,7,raw_WoS_DE_term_no_synonym_merge
Helicobacter pylori,7,raw_WoS_DE_term_no_synonym_merge
hemostasis,7,raw_WoS_DE_term_no_synonym_merge
HIV,7,raw_WoS_DE_term_no_synonym_merge
Immune cells,7,raw_WoS_DE_term_no_synonym_merge
Ischemia,7,raw_WoS_DE_term_no_synonym_merge
lipopolysaccharide,7,raw_WoS_DE_term_no_synonym_merge
liver fibrosis,7,raw_WoS_DE_term_no_synonym_merge
Microglia,7,raw_WoS_DE_term_no_synonym_merge
miR-155,7,raw_WoS_DE_term_no_synonym_merge
myocardial ischemia,7,raw_WoS_DE_term_no_synonym_merge
neovascularization,7,raw_WoS_DE_term_no_synonym_merge
neurogenesis,7,raw_WoS_DE_term_no_synonym_merge
Nitric oxide,7,raw_WoS_DE_term_no_synonym_merge
Nrf2,7,raw_WoS_DE_term_no_synonym_merge
osteoblasts,7,raw_WoS_DE_term_no_synonym_merge
pathogenesis,7,raw_WoS_DE_term_no_synonym_merge
pericyte,7,raw_WoS_DE_term_no_synonym_merge
Pulmonary hypertension,7,raw_WoS_DE_term_no_synonym_merge
Pyroptosis,7,raw_WoS_DE_term_no_synonym_merge
reperfusion injury,7,raw_WoS_DE_term_no_synonym_merge
RNA,7,raw_WoS_DE_term_no_synonym_merge
ROS,7,raw_WoS_DE_term_no_synonym_merge
targeted delivery,7,raw_WoS_DE_term_no_synonym_merge
targeted therapy,7,raw_WoS_DE_term_no_synonym_merge
therapeutics,7,raw_WoS_DE_term_no_synonym_merge
tumor,7,raw_WoS_DE_term_no_synonym_merge
Tumor,7,raw_WoS_DE_term_no_synonym_merge
tumour microenvironment,7,raw_WoS_DE_term_no_synonym_merge
tunneling nanotubes,7,raw_WoS_DE_term_no_synonym_merge
vascular endothelial cell,7,raw_WoS_DE_term_no_synonym_merge
Vascular endothelial growth factor,7,raw_WoS_DE_term_no_synonym_merge
Adipose-derived mesenchymal stem cells,6,raw_WoS_DE_term_no_synonym_merge
adipose-derived mesenchymal stem cells,6,raw_WoS_DE_term_no_synonym_merge
angiotensin II,6,raw_WoS_DE_term_no_synonym_merge
anti-angiogenic therapy,6,raw_WoS_DE_term_no_synonym_merge
astrocyte,6,raw_WoS_DE_term_no_synonym_merge
Astrocytes,6,raw_WoS_DE_term_no_synonym_merge
ATP,6,raw_WoS_DE_term_no_synonym_merge
blood,6,raw_WoS_DE_term_no_synonym_merge
Bone mesenchymal stem cells,6,raw_WoS_DE_term_no_synonym_merge
cancer therapy,6,raw_WoS_DE_term_no_synonym_merge
cardiac,6,raw_WoS_DE_term_no_synonym_merge
cardiac repair,6,raw_WoS_DE_term_no_synonym_merge
Cell migration,6,raw_WoS_DE_term_no_synonym_merge
cell proliferation,6,raw_WoS_DE_term_no_synonym_merge
cervical cancer,6,raw_WoS_DE_term_no_synonym_merge
chemotherapy,6,raw_WoS_DE_term_no_synonym_merge
circRNAs,6,raw_WoS_DE_term_no_synonym_merge
conditioned medium,6,raw_WoS_DE_term_no_synonym_merge
cytokine,6,raw_WoS_DE_term_no_synonym_merge
differentiation,6,raw_WoS_DE_term_no_synonym_merge
EMT,6,raw_WoS_DE_term_no_synonym_merge
endothelial microvesicles,6,raw_WoS_DE_term_no_synonym_merge
endothelial-to-mesenchymal transition,6,raw_WoS_DE_term_no_synonym_merge
Exercise,6,raw_WoS_DE_term_no_synonym_merge
exosomal miRNAs,6,raw_WoS_DE_term_no_synonym_merge
functional recovery,6,raw_WoS_DE_term_no_synonym_merge
gene expression,6,raw_WoS_DE_term_no_synonym_merge
hepatocytes,6,raw_WoS_DE_term_no_synonym_merge
High glucose,6,raw_WoS_DE_term_no_synonym_merge
HMGB1,6,raw_WoS_DE_term_no_synonym_merge
Immune evasion,6,raw_WoS_DE_term_no_synonym_merge
Immunomodulation,6,raw_WoS_DE_term_no_synonym_merge
immunosuppression,6,raw_WoS_DE_term_no_synonym_merge
liver,6,raw_WoS_DE_term_no_synonym_merge
Long non-coding RNA,6,raw_WoS_DE_term_no_synonym_merge
matrix metalloproteinases,6,raw_WoS_DE_term_no_synonym_merge
mechanism,6,raw_WoS_DE_term_no_synonym_merge
Metabolic syndrome,6,raw_WoS_DE_term_no_synonym_merge
micro-RNA,6,raw_WoS_DE_term_no_synonym_merge
miR-210,6,raw_WoS_DE_term_no_synonym_merge
mRNA,6,raw_WoS_DE_term_no_synonym_merge
Multiple sclerosis,6,raw_WoS_DE_term_no_synonym_merge
Nasopharyngeal carcinoma,6,raw_WoS_DE_term_no_synonym_merge
NLRP3,6,raw_WoS_DE_term_no_synonym_merge
paracrine,6,raw_WoS_DE_term_no_synonym_merge
Pericyte,6,raw_WoS_DE_term_no_synonym_merge
Platelets,6,raw_WoS_DE_term_no_synonym_merge
premetastatic niche,6,raw_WoS_DE_term_no_synonym_merge
Premetastatic niche,6,raw_WoS_DE_term_no_synonym_merge
